Outline,WBS,Activity ID,Task Name,Duration (working days),Start,Finish,Predecessors,Total Float (d),Free Float (d),Critical,Resources,Note
7.1,7.1,,Side backfill,10,20-07-27,30-07-27,,,,,,SUMMARY
7.1.1,7.1,A7010,Side backfill in selected fill — 250 layers compacted to 95 % MDD,10,20-07-27,30-07-27,"A6025,A4090,A2070FF",4,0,,Excavator;Plate compactor;Vibratory roller;Unskilled gang,290 m3; never backfill against an unpropped wall before the roof is on
7.1.2,7.1,A7015,In-situ density testing of the side backfill,3,23-07-27,26-07-27,A7010SS+3,8,8,,QA/QC Engineer,IS 2720 (Part 28)
7.2,7.2,,"Engineered cover build-up, 2000 layered",194,21-01-27,06-09-27,,,,,,SUMMARY
7.2.1,7.2,A7020,Crush excavated basalt on site to 25–75 mm and stockpile,8,21-01-27,30-01-27,A2050,163,163,,Excavator;Rock breaker,wins the 51 m3 rubble layer from the cut
7.2.2,7.2,A7025,Compacted engineered fill 750 at 95 % MDD over the roof,5,05-08-27,10-08-27,"A6040,A7010,A7015",0,0,YES,Excavator;Plate compactor;Unskilled gang,77 m3 — radiation mass
7.2.3,7.2,A7030,Crushed basalt rubble layer 500,4,11-08-27,14-08-27,"A7025,A7020",0,0,YES,Excavator;Unskilled gang,scatters burster energy
7.2.4,7.2,A7050,Granular filter layer 150,2,31-08-27,01-09-27,A7045,0,0,YES,Unskilled gang,stops fines clogging
7.2.5,7.2,A7055,Topsoil 300 and turfing — the concealment layer,4,02-09-27,06-09-27,A7050,0,0,YES,Excavator;Unskilled gang,uses the stripped topsoil from A2015
7.3,7.3,,Burster slab M30,13,16-08-27,30-08-27,,,,,,SUMMARY
7.3.1,7.3,A7035,Burster slab M30 200 thk — formwork and reinforcement T12 @ 150 B/W,5,16-08-27,20-08-27,A7030,0,0,YES,Carpenter gang;Bar bender gang,1.22 t of T12
7.3.2,7.3,A7040,Concrete burster slab M30,1,21-08-27,21-08-27,A7035,0,0,YES,Concrete gang;Concrete pump,20.6 m3
7.3.3,7.3,A7045,Curing of the burster slab,7,23-08-27,30-08-27,A7040,0,0,YES,Unskilled gang,
7.4,7.4,,Verification of the cover,4,07-09-27,10-09-27,,,,,,SUMMARY
7.4.1,7.4,A7060,Compaction test records and verification of the cover build-up,3,07-09-27,09-09-27,A7055,0,0,YES,QA/QC Engineer;Site Engineer (Civil),must reproduce the 2000 / 40.65 kPa build-up of master A.7.3
7.4.2,7.4,A7065,MILESTONE: overburden complete — the structure is buried,0,10-09-27,10-09-27,A7060,0,0,YES,,M-09
8,8,,SENTRY POST,120,21-01-27,11-06-27,,,,,,SUMMARY
8.1,8.1,,"Setting out, excavation and footings F1",18,21-01-27,11-02-27,,,,,,SUMMARY
8.1.1,8.1,A8010,"Sentry post setting out — grids A–B and 1–2, level control",2,21-01-27,22-01-27,"A1105,A1065,A2050",102,0,,Surveyor,3650 x 4650 c/c; at least 10 m clear
8.1.2,8.1,A8015,"Excavation for footings F1, 4 No., to (-)2.100",4,23-01-27,28-01-27,A8010,102,0,,Excavator;Rock breaker,37 m3
8.1.3,8.1,A8020,HOLD POINT: founding stratum inspection — in-situ basalt at (-)2.000,1,29-01-27,29-01-27,A8015,102,0,,QA/QC Engineer;Site Engineer (Civil),H-11
8.1.4,8.1,A8025,"Blinding PCC M15 100 under F1, 4 No.",1,30-01-27,30-01-27,A8020,102,0,,Concrete gang,
8.1.5,8.1,A8030,Footing F1 reinforcement T12 @ 150 both ways; column starters 8-T16,3,01-02-27,03-02-27,A8025,102,0,,Bar bender gang,
8.1.6,8.1,A8035,HOLD POINT: footing reinforcement and starter inspection,1,04-02-27,04-02-27,A8030,102,0,,QA/QC Engineer,H-12
8.1.7,8.1,A8040,Concrete footings F1 M30,1,05-02-27,05-02-27,A8035,102,0,,Concrete gang,5.4 m3
8.1.8,8.1,A8045,Curing and backfill to the footings,5,06-02-27,11-02-27,A8040,102,0,,Unskilled gang;Plate compactor,
8.2,8.2,,"Frame — columns C1, plinth beam PB",15,12-02-27,01-03-27,,,,,,SUMMARY
8.2.1,8.2,A8050,"Columns C1 to plinth level — reinforcement, formwork, concrete",5,12-02-27,17-02-27,A8045,102,0,,Bar bender gang;Carpenter gang;Concrete gang,
8.2.2,8.2,A8055,"Plinth beam PB 250 x 400 at +0.450 — reinforcement, formwork, concrete",4,18-02-27,22-02-27,A8050,102,0,,Bar bender gang;Carpenter gang;Concrete gang,PB carries the ground storey masonry
8.2.3,8.2,A8060,Filling and compaction under the ground floor to +0.450,3,23-02-27,25-02-27,A8055,172,62,,Unskilled gang;Plate compactor,7.5 m3
8.2.4,8.2,A8065,"Columns C1 — ground storey, to the first-floor beam soffit",6,23-02-27,01-03-27,A8055,102,0,,Bar bender gang;Carpenter gang;Concrete gang,T10 confining hoops + cross-ties @ 85 over 500 from every joint face
8.3,8.3,,Frame — first floor beams B1/B2 and slab S1,18,02-03-27,22-03-27,,,,,,SUMMARY
8.3.1,8.3,A8070,First floor beams B1/B2 and slab S1 150 — falsework and formwork,5,02-03-27,06-03-27,A8065,102,0,,Carpenter gang;Scaffolding,
8.3.2,8.3,A8075,"First floor beam and slab reinforcement, incl. corner torsion steel",4,08-03-27,11-03-27,A8070,102,0,,Bar bender gang,"T8 @ 200 torsion, four layers, 700 sq at all four corners — IS 456 D-1.8"
8.3.3,8.3,A8080,HOLD POINT: first floor reinforcement inspection — IS 13920 detailing,1,12-03-27,12-03-27,A8075,102,0,,QA/QC Engineer;Structural Consultant,H-13
8.3.4,8.3,A8085,Concrete first floor beams and slab M30,1,13-03-27,13-03-27,A8080,102,0,,Concrete gang,
8.3.5,8.3,A8090,"Curing 7 days; strike sides, props to remain",7,15-03-27,22-03-27,A8085,102,0,,Unskilled gang;Carpenter gang,IS 456 Table 11
8.4,8.4,,"Frame — roof beams, slab, projection and parapet",25,23-03-27,20-04-27,,,,,,SUMMARY
8.4.1,8.4,A8095,"Columns C1 — first storey, to the roof beam soffit",6,23-03-27,29-03-27,A8090,102,0,,Bar bender gang;Carpenter gang;Concrete gang,
8.4.2,8.4,A8100,Roof beams B1/B2 and slab S1 with the 300 projection — formwork and reinforcement,6,30-03-27,05-04-27,A8095,102,0,,Carpenter gang;Bar bender gang;Scaffolding,
8.4.3,8.4,A8105,HOLD POINT: sentry post roof reinforcement inspection,1,06-04-27,06-04-27,A8100,102,0,,QA/QC Engineer;Structural Consultant,H-14
8.4.4,8.4,A8110,Concrete sentry post roof M30,1,07-04-27,07-04-27,A8105,102,0,,Concrete gang,
8.4.5,8.4,A8115,Parapet 300 high over the roof projection,3,12-04-27,14-04-27,A8110+3,186,4,,Bar bender gang;Carpenter gang;Concrete gang,
8.4.6,8.4,A8120,Curing and strike — sentry post roof,10,08-04-27,19-04-27,A8110,102,0,,Unskilled gang;Carpenter gang,
8.4.7,8.4,A8125,MILESTONE: sentry post frame complete,0,20-04-27,20-04-27,"A8120,A8115",182,182,,,M-10
8.5,8.5,,BRICK MASONRY WALLS  (design change SP-B1),39,15-03-27,28-04-27,,,,,,SUMMARY
8.5.1,8.5,A8130,"Brick delivery, stacking, sampling and testing to IS 3495",4,15-03-27,18-03-27,"A1176,A8085",121,3,,Storekeeper;QA/QC Engineer,"compressive strength, water absorption, efflorescence, warpage"
8.5.2,8.5,A8135,"BRICK MASONRY WALLS — ground storey, 190 thk in CM 1:6",5,23-03-27,27-03-27,"A8090,A8130",118,0,,Mason gang;Unskilled gang;Scaffolding,DESIGN CHANGE SP-B1: brick masonry replaces the 200 RC ballistic infill
8.5.3,8.5,A8145,"HOLD POINT: masonry line, level, plumb and joint thickness — ground storey",1,31-03-27,31-03-27,"A8135,A8140",118,16,,QA/QC Engineer,H-15
8.5.4,8.5,A8150,"BRICK MASONRY WALLS — first storey, 190 thk in CM 1:6",4,20-04-27,23-04-27,"A8120,A8145",102,0,,Mason gang;Unskilled gang;Scaffolding,
8.5.5,8.5,A8160,HOLD POINT: masonry inspection — first storey,1,27-04-27,27-04-27,"A8150,A8155",102,0,,QA/QC Engineer,H-16
8.5.6,8.5,A8165,MILESTONE: sentry post brick masonry complete,0,28-04-27,28-04-27,A8160,175,175,,,M-11
8.6,8.6,,Lintels and openings,25,29-03-27,26-04-27,,,,,,SUMMARY
8.6.1,8.6,A8140,RC lintels over the D1 and W1 openings — ground storey,2,29-03-27,30-03-27,A8135,118,0,,Bar bender gang;Carpenter gang;Concrete gang,NEW work created by SP-B1; lintel design does not yet exist
8.6.2,8.6,A8155,RC lintels over the vision panel and door openings — first storey,2,24-04-27,26-04-27,A8150,102,0,,Bar bender gang;Carpenter gang;Concrete gang,
8.7,8.7,,Spiral stair,6,20-04-27,26-04-27,,,,,,SUMMARY
8.7.1,8.7,A8170,"External spiral stair 1000 R, 250 dia central pole — fabrication and erection",6,20-04-27,26-04-27,A8120,147,38,,Welding set;Crane;Unskilled gang,
8.8,8.8,,"Plaster, flooring and finishes",34,04-05-27,11-06-27,,,,,,SUMMARY
8.8.1,8.8,A8180,"Sentry post internal plaster 12 mm, sand faced, CM 1:4",6,04-05-27,10-05-27,A8175,102,0,,Plasterer gang;Unskilled gang,IS 1661
8.8.2,8.8,A8185,"Sentry post external plaster 15 mm, two coat, with scaffolding",6,11-05-27,17-05-27,A8180,102,0,,Plasterer gang;Scaffolding,
8.8.3,8.8,A8190,Sentry post flooring — ground and first floor,4,11-05-27,14-05-27,"A8180,A8060",110,8,,Mason gang,33 m2; specification not in the project
8.8.4,8.8,A8195,"Door D1 (2 No.), window W1 and armoured vision panel installation",6,18-05-27,24-05-27,"A8185,A1165",102,0,,Unskilled gang;Welding set,
8.8.5,8.8,A8205,Sentry post painting — internal and external,6,01-06-27,07-06-27,A8200,102,0,,Painter gang;Scaffolding,IS 2395 (Part 1)
8.8.6,8.8,A8210,Sentry post testing and snagging,3,08-06-27,10-06-27,A8205,109,0,,QA/QC Engineer;Electrician gang,
8.8.7,8.8,A8215,MILESTONE: sentry post complete,0,11-06-27,11-06-27,"A8210,A8170",109,109,,,M-12
8.9,8.9,,Electrical installation,28,28-04-27,31-05-27,,,,,,SUMMARY
8.9.1,8.9,A8175,Sentry post electrical — conduits and boxes chased into the masonry,4,28-04-27,03-05-27,A8160,102,0,,Electrician gang,"chases cut, not hammered — masonry rule"
8.9.2,8.9,A8200,"Sentry post electrical — wiring, distribution board, fittings, earthing",6,25-05-27,31-05-27,"A8190,A8195",102,0,,Electrician gang,
9,9,,"MECHANICAL, CBRN AND HVAC SERVICES",136,20-03-27,26-08-27,,,,,,SUMMARY
9.1,9.1,,"Builder's work, sleeves and penetrations",6,20-03-27,26-03-27,,,,,,SUMMARY
9.1.1,9.1,A9010,"Builder's work — sleeves, ducts and penetrations coordinated with the RC",6,20-03-27,26-03-27,A3090SS+2,10,10,,HVAC fitter;Site Engineer (Services),
9.2,9.2,,"Shafts, ductwork and blast valves",46,17-06-27,09-08-27,,,,,,SUMMARY
9.2.1,9.2,A9015,Install blast valve sleeves in the walls and roof,4,17-06-27,21-06-27,"A1145,A4050",74,37,,HVAC fitter;Welding set,
9.2.2,9.2,A9020,Fresh-air shaft SH-1 600 x 600 and gooseneck head at +1.500,5,20-07-27,24-07-27,A4090,45,8,,HVAC fitter;Concrete gang,12.3 m from the intake to the entry
9.2.3,9.2,A9025,Generator air shaft SH-2 600 x 600,4,20-07-27,23-07-27,A4090,46,0,,HVAC fitter;Concrete gang,
9.2.4,9.2,A9030,"Ductwork installation, bays 1–6 — every run inspectable along its length",10,23-07-27,03-08-27,A4095,17,0,,HVAC fitter,no suspended ceiling anywhere — FN1 C-01
9.2.5,9.2,A9035,Install blast valves BV-1 to BV-5,5,04-08-27,09-08-27,"A9015,A9030,A9020",37,14,,HVAC fitter,
9.3,9.3,,CBRN plant and generator,29,24-07-27,26-08-27,,,,,,SUMMARY
9.3.1,9.3,A9040,Install CBRN filter trains AHU-1 and AHU-2 in bay 5,8,04-08-27,12-08-27,"A1135,A9030",17,0,,HVAC fitter;Crane,true N+1 — either train carries the whole duty
9.3.2,9.3,A9045,"Install CO2 scrubber, oxygen store and dehumidifier",5,13-08-27,18-08-27,A9040,17,0,,HVAC fitter,"soda lime, not oxygen, limits closed mode"
9.3.3,9.3,A9050,Install generator GEN-1 15 kVA in bay 8 on a bunded plinth,5,24-07-27,29-07-27,"A1160,A9025",46,12,,HVAC fitter;Crane;Electrician gang,
9.3.4,9.3,A9055,"HVAC terminal devices, dampers and controls",6,19-08-27,25-08-27,A9045,17,0,,HVAC fitter,
9.3.5,9.3,A9060,MILESTONE: CBRN plant installed,0,26-08-27,26-08-27,"A9055,A9050,A9035",23,6,,,M-13
10,10,,DRAINAGE AND SANITARY WORKS,48,23-07-27,16-09-27,,,,,,SUMMARY
10.1,10.1,,Internal drainage and the clean sump,18,23-07-27,12-08-27,,,,,,SUMMARY
10.1.1,10.1,A10010,Internal gullies GY-01 to GY-09; floor falls set out,4,23-07-27,27-07-27,A4095,12,0,,Plumber gang;Surveyor,spine falls 1:400 east to the sump
10.1.2,10.1,A10015,Waste and effluent drains PD-01 and PD-03 — laid and tested,5,28-07-27,02-08-27,A10010,12,0,,Plumber gang,
10.1.3,10.1,A10020,"Clean sump SU-01 — fit out, pumps PU-01/PU-02 and hand pump PU-03",5,03-08-27,07-08-27,"A1170,A10015",42,0,,Plumber gang;Electrician gang,"duty, standby AND manual"
10.1.4,10.1,A10025,"Rising main PD-05 — isolation valve, gas-tight NRV, blast check valve and deep-seal trap in series",4,09-08-27,12-08-27,A10020,42,29,,Plumber gang,four devices in series; all inside the envelope
10.2,10.2,,Segregated decontamination effluent,4,03-08-27,06-08-27,,,,,,SUMMARY
10.2.1,10.2,A10030,Decontamination effluent segregation — CP-01 and tank TK-01 in bay 8,4,03-08-27,06-08-27,A10015,47,34,,Plumber gang,NEVER connected to the clean sump
10.3,10.3,,Above-ground and external drainage,41,31-07-27,16-09-27,,,,,,SUMMARY
10.3.1,10.3,A10035,Stairwell sump SU-02 and pumps PU-04/PU-05,4,11-08-27,14-08-27,"A5110,A1170",40,27,,Plumber gang;Electrician gang,
10.3.2,10.3,A10040,Headhouse gully GY-11 and trapped connection,2,14-09-27,15-09-27,A5065,13,0,,Plumber gang,trapped gully to an external soakaway
10.3.3,10.3,A10045,"Threshold channel CH-10, catchpit CP-10 and connections",3,13-08-27,16-08-27,A5115,39,26,,Plumber gang,
10.3.4,10.3,A10050,"Septic tank ST-01 — excavation, construction and testing",8,31-07-27,09-08-27,"A1085,A7010",33,0,,Mason gang;Concrete gang,IS 2470 (Part 1) Table 1
10.3.5,10.3,A10055,Soak pits SK-01 and SK-02 — constructed after the percolation test,6,10-08-27,16-08-27,A10050,33,0,,Mason gang;Unskilled gang,"SK-01 is 2.3 % short of its own requirement — conflict C19, UNRESOLVED"
10.3.6,10.3,A10060,External drainage connections and chambers,6,17-08-27,23-08-27,A10055,33,20,,Plumber gang;Mason gang,several lengths NOT DETERMINABLE — no site plan
10.3.7,10.3,A10065,MILESTONE: drainage installed,0,16-09-27,16-09-27,"A10060,A10045,A10035,A10025,A10030,A10040",13,0,,,M-14
11,11,,ELECTRICAL AND EMP WORKS,147,15-03-27,02-09-27,,,,,,SUMMARY
11.1,11.1,,Concealed containment and earthing,135,15-03-27,19-08-27,,,,,,SUMMARY
11.1.1,11.1,A11015,"Earth pits, earth electrodes and the buried earth ring",5,15-03-27,19-03-27,A3075,157,124,,Electrician gang;Unskilled gang,IS 3043; 5 ohm target
11.1.2,11.1,A11020,EMP straps and bonding at every construction joint,8,09-04-27,17-04-27,A3125SS,138,130,,Welding set;Electrician gang,welded Cu/galv strap at every joint — a joint is an EMP discontinuity
11.1.3,11.1,A11050,"Earthing conductors, bonding and connection to the electrode system",6,13-08-27,19-08-27,"A11015,A11035",33,0,,Electrician gang,
11.2,11.2,,EMP Zone 2 enclosure and penetration protection,12,23-07-27,05-08-27,,,,,,SUMMARY
11.2.1,11.2,A11025,"Main cable route, service entry plate and EMP penetration protection",6,23-07-27,29-07-27,A4095,12,0,,Electrician gang;Welding set,"power PCI, waveguide below cutoff, fibre — MIL-STD-188-125-1"
11.2.2,11.2,A11030,EMP Zone 2 shielded enclosure erection in bay 3 — SPECIALIST,12,23-07-27,05-08-27,"A1155,A4095",45,23,,Specialist subcontractor;Crane,the rebar cage gives 0 dB at 1 GHz; the welded steel room is the answer
11.3,11.3,,"Distribution, lighting and power",30,30-07-27,02-09-27,,,,,,SUMMARY
11.3.1,11.3,A11035,"Distribution board, sub-mains and final circuit wiring",12,30-07-27,12-08-27,A11025,12,0,,Electrician gang,IS 732
11.3.2,11.3,A11040,"Lighting, small power and emergency lighting installation",10,13-08-27,24-08-27,A11035,12,5,,Electrician gang,
11.3.3,11.3,A11045,"Generator connection, changeover panel and protection",5,13-08-27,18-08-27,"A9050,A11035",34,0,,Electrician gang,
11.3.4,11.3,A11055,"Power to pumps, fans, filter trains and controls",6,26-08-27,01-09-27,"A11035,A9055",17,0,,Electrician gang,
11.3.5,11.3,A11060,MILESTONE: electrical installation complete,0,02-09-27,02-09-27,"A11040,A11045,A11050,A11055,A11030",22,0,,,M-15
12,12,,INTERNAL FINISHES,47,27-07-27,18-09-27,,,,,,SUMMARY
12.1,12.1,,Substrate preparation and wet-area tanking,11,27-07-27,07-08-27,,,,,,SUMMARY
12.1.1,12.1,A12010,"Substrate preparation — hack, make good, prepare soffits and walls",6,27-07-27,02-08-27,"A4095,A4100",7,0,,Unskilled gang;Plasterer gang,
12.1.2,12.1,A12015,"Internal wet-area tanking WP-04 — bays 2, 5 and 6",5,03-08-27,07-08-27,A12010,7,0,,Waterproofing gang,turned up 150 and dressed to every gully and sleeve
12.2,12.2,,Floor finishes and skirtings,35,09-08-27,17-09-27,,,,,,SUMMARY
12.2.1,12.2,A12020,"Floor screeds laid to falls, bays 1–8",8,09-08-27,17-08-27,"A10015,A12015",7,0,,Mason gang;Concrete gang,
12.2.2,12.2,A12025,"Floor finish F-01 — sealed power-floated, bays 1, 3 and 4",6,18-08-27,24-08-27,A12020,7,0,,Mason gang,"decontaminable, joint-free within a room"
12.2.3,12.2,A12030,"Floor finish F-02 — seamless coved wet-area, bays 2, 5 and 6",5,18-08-27,23-08-27,A12020,8,1,,Mason gang,"NO tiles, NO grout — grout lines fail decontamination"
12.2.4,12.2,A12035,"Floor finish F-03 — non-slip, stair shaft, treads and landings",4,18-08-27,21-08-27,A12020,43,0,,Mason gang,
12.2.5,12.2,A12040,"Floor finish F-04 — oil-resistant with a bunded plinth, bay 8",3,18-08-27,20-08-27,A12020,77,24,,Mason gang,
12.2.6,12.2,A12045,Floor finish F-05 headhouse and F-06 covered entry stairwell,4,14-09-27,17-09-27,"A5065,A5110",53,0,,Mason gang,
12.2.7,12.2,A12050,"Coved skirtings S-01 / S-02, integral with the floor",5,25-08-27,30-08-27,"A12025,A12030",7,0,,Mason gang,"no separate section, no sealant joint"
12.3,12.3,,Wall and soffit finishes,16,31-08-27,17-09-27,,,,,,SUMMARY
12.3.1,12.3,A12055,Wall finishes W-01 / W-02 / W-03 — sealed washable coatings,10,31-08-27,10-09-27,"A12050,A11040",7,0,,Painter gang,"applied direct to concrete; no cavity, no lining"
12.3.2,12.3,A12060,"Soffit finishes C-01 / C-02 — exposed RC, sealed",6,11-09-27,17-09-27,A12055,7,0,,Painter gang,no suspended ceiling and no boxing-in anywhere
12.4,12.4,,Internal doors,7,11-09-27,18-09-27,,,,,,SUMMARY
12.4.1,12.4,A12065,Internal doors D-04 in the W8 partitions; gas-tight door D-05 in W5,4,11-09-27,15-09-27,A12055,55,2,,Unskilled gang,D-05 is UNRESOLVED — no door is scheduled in W5 anywhere in the project
12.4.2,12.4,A12070,MILESTONE: internal finishes complete,0,18-09-27,18-09-27,"A12060,A12065,A12045,A12035,A12040",53,53,,,M-16
13,13,,"EXTERNAL WORKS, CONCEALMENT AND RESTORATION",32,10-09-27,18-10-27,,,,,,SUMMARY
13.1,13.1,,"Berm, regrading and surface water",18,10-09-27,30-09-27,,,,,,SUMMARY
13.1.1,13.1,A13010,Berm forming and grading 1.5:1 to +0.900 against the headhouse and stairwell,8,10-09-27,18-09-27,"A7065,A5110",0,0,YES,Excavator;Dozer/grader;Vibratory roller,volume NOT DETERMINABLE — no site plan exists
13.1.2,13.1,A13015,Site regrading — crown and falls 1:50 away from the structure,5,20-09-27,24-09-27,A13010,0,0,YES,Dozer/grader;Vibratory roller,
13.1.3,13.1,A13020,"Surface water drainage, cut-off drains and outfalls",5,25-09-27,30-09-27,A13015,7,7,,Plumber gang;Unskilled gang,
13.2,13.2,,Access and hardstanding,12,25-09-27,09-10-27,,,,,,SUMMARY
13.2.1,13.2,A13025,"Access route, hardstanding and turning area",8,25-09-27,05-10-27,A13015,0,0,YES,Dozer/grader;Vibratory roller;Unskilled gang,extent not defined in the project
13.2.2,13.2,A13030,"Sentry post surround, apron and drainage",4,06-10-27,09-10-27,"A8205,A13025",0,0,YES,Mason gang;Unskilled gang,
13.3,13.3,,Concealment and camouflage,12,25-09-27,09-10-27,,,,,,SUMMARY
13.3.1,13.3,A13035,Turfing and planting over the cover — the concealment layer,6,25-09-27,01-10-27,A13015,0,0,YES,Unskilled gang,the only concealment element the project confirms
13.3.2,13.3,A13040,"Camouflage and concealment — spoil dressing, track discipline, screening",6,04-10-27,09-10-27,A13035,0,0,YES,Unskilled gang,no concealment specification exists — scope to be confirmed
13.4,13.4,,Site restoration,7,11-10-27,18-10-27,,,,,,SUMMARY
13.4.1,13.4,A13045,"Removal of temporary works, site restoration and clearing",6,11-10-27,16-10-27,"A13040,A13030,A13020",0,0,YES,Excavator;Unskilled gang,
13.4.2,13.4,A13050,MILESTONE: external works and concealment complete,0,18-10-27,18-10-27,A13045,0,0,YES,,M-17
14,14,,"TESTING, COMMISSIONING AND HANDOVER",92,05-08-27,20-11-27,,,,,,SUMMARY
14.1,14.1,,Structural verification,28,23-08-27,23-09-27,,,,,,SUMMARY
14.1.1,14.1,A14010,"Concrete cube results at 28 days, all pours — review and acceptance",5,23-08-27,27-08-27,A7040,38,0,,QA/QC Engineer,IS 516
14.1.2,14.1,A14015,Non-destructive testing — ultrasonic pulse velocity and rebound hammer,4,28-08-27,01-09-27,A14010,38,38,,QA/QC Engineer,IS 13311 (Parts 1 and 2)
14.1.3,14.1,A14020,Dimensional and as-built survey of the completed structure,5,10-09-27,15-09-27,A7065,26,26,,Surveyor,
14.1.4,14.1,A14025,Watertightness inspection of the completed envelope,5,18-09-27,23-09-27,"A12010,A7065,A6045",19,19,,QA/QC Engineer;Waterproofing gang,
14.2,14.2,,Services testing,28,20-08-27,21-09-27,,,,,,SUMMARY
14.2.1,14.2,A14030,"Drainage testing — pipes, gullies, chambers, pump duty and standby",5,16-09-27,21-09-27,A10065,13,6,,Plumber gang;QA/QC Engineer,
14.2.2,14.2,A14035,"Electrical testing — insulation, continuity, polarity, protection",5,02-09-27,07-09-27,A11060,33,33,,Electrician gang;QA/QC Engineer,IS 732
14.2.3,14.2,A14040,Earth resistance measurement — 5 ohm target,2,20-08-27,21-08-27,A11050,47,47,,Electrician gang;QA/QC Engineer,IEEE 142 / IS 3043
14.3,14.3,,Protective-system testing,47,05-08-27,28-09-27,,,,,,SUMMARY
14.3.1,14.3,A14045,"EMP shielding effectiveness survey — 80 dB, 10 kHz to 1 GHz",8,18-09-27,27-09-27,"A11030,A11060,A12060,A11020",8,1,,Specialist subcontractor;QA/QC Engineer,IEEE Std 299; MIL-STD-188-125-1
14.3.2,14.3,A14050,Blast doors 1 and 2 — functional and seal testing,4,18-09-27,22-09-27,"A5140,A12060",7,0,,Specialist subcontractor;Site Engineer (Civil),
14.3.3,14.3,A14055,Escape shaft access and closure functional test,2,05-08-27,06-08-27,A5130,60,60,,Site Engineer (Civil);Safety Officer,
14.3.4,14.3,A14065,"Gas-tightness and overpressure test of the envelope, bays 1–6",5,23-09-27,28-09-27,"A14060,A14050",7,0,,Specialist subcontractor;QA/QC Engineer,"67.8 m2 floor, 217.0 m3 volume"
14.4,14.4,,Commissioning,41,19-08-27,06-10-27,,,,,,SUMMARY
14.4.1,14.4,A14060,HVAC and CBRN filter train commissioning — airflow and overpressure,8,02-09-27,10-09-27,"A9060,A11055",17,10,,Specialist subcontractor;HVAC fitter,
14.4.2,14.4,A14070,Generator load test and changeover proving,3,19-08-27,21-08-27,A11045,39,32,,Electrician gang;Specialist subcontractor,
14.4.3,14.4,A14075,Integrated systems commissioning — protective mode operation,6,29-09-27,06-10-27,"A14065,A14060,A14070,A14030,A14045",7,0,,Site Engineer (Services);Specialist subcontractor,
14.5,14.5,,Completion and handover,39,07-10-27,20-11-27,,,,,,SUMMARY
14.5.1,14.5,A14080,Snagging inspection and defects list,5,18-10-27,22-10-27,"A14075,A13050,A8215,A14025,A14015,A14035,A14040,A14055,A14020,A4115,A5145,A5150",0,0,YES,QA/QC Engineer;Project Manager,
14.5.2,14.5,A14085,Rectification of defects,10,23-10-27,03-11-27,A14080,0,0,YES,Unskilled gang;Mason gang;Painter gang,
14.5.3,14.5,A14090,"As-built drawings, O&M manuals and test certificates",12,07-10-27,20-10-27,A14075,7,0,,Project Manager;Planning Engineer,
14.5.4,14.5,A14095,"Operator training — CBRN plant, pumps, generator, doors, escape shafts",5,21-10-27,26-10-27,A14090,7,7,,Specialist subcontractor;Site Engineer (Services),
14.5.5,14.5,A14098,Programme contingency — festival holidays and weather allowance,10,04-11-27,15-11-27,"A14085,A14095",0,0,YES,,the calendar carries no festival holidays; this activity absorbs them
14.5.6,14.5,A14100,Final inspection and handover documentation,4,16-11-27,19-11-27,A14098,0,0,YES,Project Manager;QA/QC Engineer,
14.5.7,14.5,A14105,MILESTONE: PRACTICAL COMPLETION AND HANDOVER,0,20-11-27,20-11-27,A14100,0,0,YES,,M-18
